month,state,district,pincode,bio_age_5_17,bio_18p,enroll_18p,bio_rate_18p,low_anomaly,zero_anomaly
2025-03-01,assam,Tinsukia,786152,118,58,11.0,5.2727272727272725,False,False
2025-03-01,assam,Tinsukia,786156,65,27,21.0,1.2857142857142858,False,False
2025-03-01,assam,Tinsukia,786171,37,59,30.0,1.9666666666666666,False,False
2025-03-01,assam,Tinsukia,786174,87,33,20.0,1.65,False,False
2025-03-01,assam,Udalguri,784509,464,153,34.0,4.5,False,False
2025-03-01,meghalaya,East Khasi Hills,793015,88,227,115.0,1.9739130434782608,False,False
2025-03-01,meghalaya,East Khasi Hills,793121,72,106,49.0,2.163265306122449,False,False
2025-03-01,meghalaya,Ri Bhoi,793105,45,22,26.0,0.8461538461538461,False,False
2025-03-01,meghalaya,South West Khasi Hills,793119,22,109,442.0,0.24660633484162897,False,False
2025-03-01,meghalaya,West Jaintia Hills,793150,457,215,142.0,1.5140845070422535,False,False
2025-03-01,meghalaya,West Khasi Hills,793119,237,269,442.0,0.6085972850678733,False,False
2025-04-01,assam,Baksa,781315,661,107,18.0,5.944444444444445,False,False
2025-04-01,assam,Baksa,781344,128,23,16.0,1.4375,False,False
2025-04-01,assam,Baksa,781360,235,86,73.0,1.178082191780822,False,False
2025-04-01,assam,Baksa,781367,85,65,31.0,2.096774193548387,False,False
2025-04-01,assam,Baksa,781368,148,48,30.0,1.6,False,False
2025-04-01,assam,Baksa,781372,295,36,19.0,1.894736842105263,False,False
2025-04-01,assam,Barpeta,781313,326,88,12.0,7.333333333333333,False,False
2025-04-01,assam,Barpeta,781315,1094,151,18.0,8.38888888888889,False,False
2025-04-01,assam,Barpeta,781325,559,61,11.0,5.545454545454546,False,False
2025-04-01,assam,Biswanath,784174,204,32,10.0,3.2,False,False
2025-04-01,assam,Biswanath,784176,261,57,22.0,2.590909090909091,False,False
2025-04-01,assam,Bongaigaon,783380,377,206,27.0,7.62962962962963,False,False
2025-04-01,assam,Bongaigaon,783381,26,24,13.0,1.8461538461538463,False,False
2025-04-01,assam,Bongaigaon,783384,1314,369,21.0,17.571428571428573,False,False
2025-04-01,assam,Cachar,788002,277,101,19.0,5.315789473684211,False,False
2025-04-01,assam,Cachar,788003,281,225,16.0,14.0625,False,False
2025-04-01,assam,Cachar,788005,413,274,17.0,16.11764705882353,False,False
2025-04-01,assam,Cachar,788007,150,200,14.0,14.285714285714286,False,False
2025-04-01,assam,Cachar,788009,331,86,19.0,4.526315789473684,False,False
2025-04-01,assam,Cachar,788011,52,24,11.0,2.1818181818181817,False,False
2025-04-01,assam,Cachar,788030,330,85,41.0,2.073170731707317,False,False
2025-04-01,assam,Cachar,788099,561,48,24.0,2.0,False,False
2025-04-01,assam,Cachar,788101,453,73,14.0,5.214285714285714,False,False
2025-04-01,assam,Cachar,788114,228,32,25.0,1.28,False,False
2025-04-01,assam,Cachar,788116,358,50,33.0,1.5151515151515151,False,False
2025-04-01,assam,Cachar,788117,111,53,12.0,4.416666666666667,False,False
2025-04-01,assam,Cachar,788118,95,15,19.0,0.7894736842105263,False,False
2025-04-01,assam,Cachar,788119,473,86,17.0,5.0588235294117645,False,False
2025-04-01,assam,Cachar,788120,489,85,18.0,4.722222222222222,False,False
2025-04-01,assam,Charaideo,785689,88,30,58.0,0.5172413793103449,False,False
2025-04-01,assam,Charaideo,785690,58,36,60.0,0.6,False,False
2025-04-01,assam,Charaideo,785692,70,34,46.0,0.7391304347826086,False,False
2025-04-01,assam,Chirang,783373,154,36,27.0,1.3333333333333333,False,False
2025-04-01,assam,Chirang,783375,174,25,94.0,0.26595744680851063,False,False
2025-04-01,assam,Chirang,783380,81,27,27.0,1.0,False,False
2025-04-01,assam,Chirang,783381,52,12,13.0,0.9230769230769231,False,False
2025-04-01,assam,Chirang,783393,366,77,26.0,2.9615384615384617,False,False
2025-04-01,assam,Chirang,783394,148,30,32.0,0.9375,False,False
2025-04-01,assam,Darrang,784114,110,24,36.0,0.6666666666666666,False,False
2025-04-01,assam,Darrang,784115,461,127,76.0,1.6710526315789473,False,False
2025-04-01,assam,Darrang,784116,465,154,64.0,2.40625,False,False
2025-04-01,assam,Darrang,784125,396,182,54.0,3.3703703703703702,False,False
2025-04-01,assam,Darrang,784146,244,81,36.0,2.25,False,False
2025-04-01,assam,Darrang,784190,404,139,14.0,9.928571428571429,False,False
2025-04-01,assam,Darrang,784514,129,65,26.0,2.5,False,False
2025-04-01,assam,Darrang,784514,129,65,12.0,5.416666666666667,False,False
2025-04-01,assam,Darrang,784525,161,39,17.0,2.2941176470588234,False,False
2025-04-01,assam,Dhemaji,787057,162,91,27.0,3.3703703703703702,False,False
2025-04-01,assam,Dhemaji,787060,334,114,25.0,4.56,False,False
2025-04-01,assam,Dhubri,783131,111,56,18.0,3.111111111111111,False,False
2025-04-01,assam,Dhubri,783135,141,40,12.0,3.3333333333333335,False,False
2025-04-01,assam,Dhubri,783330,768,183,13.0,14.076923076923077,False,False
2025-04-01,assam,Dhubri,783330,768,183,25.0,7.32,False,False
2025-04-01,assam,Dhubri,783334,959,150,11.0,13.636363636363637,False,False
2025-04-01,assam,Dhubri,783337,332,74,10.0,7.4,False,False
2025-04-01,assam,Dhubri,783348,1393,271,22.0,12.318181818181818,False,False
2025-04-01,assam,Dhubri,783349,252,97,24.0,4.041666666666667,False,False
2025-04-01,assam,Dibrugarh,785675,170,71,24.0,2.9583333333333335,False,False
2025-04-01,assam,Dibrugarh,786001,199,395,34.0,11.617647058823529,False,False
2025-04-01,assam,Dibrugarh,786010,185,176,15.0,11.733333333333333,False,False
2025-04-01,assam,Dibrugarh,786191,121,32,14.0,2.2857142857142856,False,False
2025-04-01,assam,Dibrugarh,786602,198,66,44.0,1.5,False,False
2025-04-01,assam,Dibrugarh,786610,158,49,24.0,2.0416666666666665,False,False
2025-04-01,assam,Dibrugarh,786613,146,20,20.0,1.0,False,False
2025-04-01,assam,Dibrugarh,786614,92,21,11.0,1.9090909090909092,False,False
2025-04-01,assam,Goalpara,783101,560,138,36.0,3.8333333333333335,False,False
2025-04-01,assam,Goalpara,783120,128,61,38.0,1.605263157894737,False,False
2025-04-01,assam,Goalpara,783129,849,229,131.0,1.748091603053435,False,False
2025-04-01,assam,Goalpara,783132,302,53,53.0,1.0,False,False
2025-04-01,assam,Goalpara,783330,315,29,13.0,2.230769230769231,False,False
2025-04-01,assam,Goalpara,783330,315,29,25.0,1.16,False,False
2025-04-01,assam,Golaghat,785601,315,188,23.0,8.173913043478262,False,False
2025-04-01,assam,Golaghat,785611,115,59,14.0,4.214285714285714,False,False
2025-04-01,assam,Golaghat,785612,80,45,16.0,2.8125,False,False
2025-04-01,assam,Golaghat,785613,14,17,30.0,0.5666666666666667,False,False
2025-04-01,assam,Golaghat,785702,71,37,36.0,1.0277777777777777,False,False
2025-04-01,assam,Golaghat,785705,185,52,13.0,4.0,False,False
2025-04-01,assam,Hailakandi,788152,58,24,12.0,2.0,False,False
2025-04-01,assam,Hailakandi,788155,119,82,18.0,4.555555555555555,False,False
2025-04-01,assam,Hailakandi,788163,182,90,35.0,2.5714285714285716,False,False
2025-04-01,assam,Hailakandi,788164,78,26,13.0,2.0,False,False
2025-04-01,assam,Hojai,782435,514,281,29.0,9.689655172413794,False,False
2025-04-01,assam,Hojai,782439,224,113,19.0,5.947368421052632,False,False
2025-04-01,assam,Hojai,782442,184,89,15.0,5.933333333333334,False,False
2025-04-01,assam,Hojai,782446,1010,372,25.0,14.88,False,False
2025-04-01,assam,Hojai,782447,119,112,12.0,9.333333333333334,False,False
2025-04-01,assam,Jorhat,785001,85,67,21.0,3.1904761904761907,False,False
2025-04-01,assam,Jorhat,785112,72,24,43.0,0.5581395348837209,False,False
2025-04-01,assam,Jorhat,785630,153,42,16.0,2.625,False,False
2025-04-01,assam,Jorhat,785633,76,13,13.0,1.0,False,False
2025-04-01,assam,Jorhat,785634,113,96,22.0,4.363636363636363,False,False
2025-04-01,assam,Jorhat,785635,110,31,39.0,0.7948717948717948,False,False
2025-04-01,assam,Kamrup,781031,90,24,10.0,2.4,False,False
2025-04-01,assam,Kamrup,781102,654,104,13.0,8.0,False,False
2025-04-01,assam,Kamrup,781123,218,36,13.0,2.769230769230769,False,False
2025-04-01,assam,Kamrup,781125,90,34,11.0,3.090909090909091,False,False
2025-04-01,assam,Kamrup,781135,163,15,16.0,0.9375,False,False
2025-04-01,assam,Kamrup,781136,1106,221,63.0,3.507936507936508,False,False
2025-04-01,assam,Kamrup,781354,829,95,22.0,4.318181818181818,False,False
2025-04-01,assam,Kamrup,781366,307,41,17.0,2.411764705882353,False,False
2025-04-01,assam,Kamrup,781380,419,28,14.0,2.0,False,False
2025-04-01,assam,Kamrup Metro,781001,86,46,20.0,2.3,False,False
2025-04-01,assam,Kamrup Metro,781005,80,53,10.0,5.3,False,False
2025-04-01,assam,Kamrup Metro,781007,51,41,12.0,3.4166666666666665,False,False
2025-04-01,assam,Kamrup Metro,781009,109,42,20.0,2.1,False,False
2025-04-01,assam,Kamrup Metro,781011,118,42,26.0,1.6153846153846154,False,False
2025-04-01,assam,Kamrup Metro,781012,175,58,26.0,2.230769230769231,False,False
2025-04-01,assam,Kamrup Metro,781016,155,58,16.0,3.625,False,False
2025-04-01,assam,Kamrup Metro,781020,139,57,18.0,3.1666666666666665,False,False
2025-04-01,assam,Kamrup Metro,781025,240,98,21.0,4.666666666666667,False,False
2025-04-01,assam,Kamrup Metro,781034,68,40,15.0,2.6666666666666665,False,False
2025-04-01,assam,Kamrup Metro,782402,155,153,15.0,10.2,False,False
2025-04-01,assam,Kamrup Metro,782403,188,94,14.0,6.714285714285714,False,False
2025-04-01,assam,Karbi Anglong,782410,123,124,30.0,4.133333333333334,False,False
2025-04-01,assam,Karbi Anglong,782441,470,139,23.0,6.043478260869565,False,False
2025-04-01,assam,Karbi Anglong,782446,103,67,25.0,2.68,False,False
2025-04-01,assam,Karbi Anglong,782447,31,17,12.0,1.4166666666666667,False,False
2025-04-01,assam,Karbi Anglong,782448,268,80,37.0,2.1621621621621623,False,False
2025-04-01,assam,Karbi Anglong,782450,135,32,10.0,3.2,False,False
2025-04-01,assam,Karbi Anglong,782450,135,32,11.0,2.909090909090909,False,False
2025-04-01,assam,Karbi Anglong,782460,182,60,27.0,2.2222222222222223,False,False
2025-04-01,assam,Karbi Anglong,782461,103,11,29.0,0.3793103448275862,False,False
2025-04-01,assam,Karbi Anglong,782470,198,65,36.0,1.8055555555555556,False,False
2025-04-01,assam,Karbi Anglong,782480,568,184,134.0,1.373134328358209,False,False
2025-04-01,assam,Karbi Anglong,782482,366,126,27.0,4.666666666666667,False,False
2025-04-01,assam,Karbi Anglong,782485,205,65,13.0,5.0,False,False
2025-04-01,assam,Karbi Anglong,782486,18,34,21.0,1.619047619047619,False,False
2025-04-01,assam,Karimganj,788152,15,10,12.0,0.8333333333333334,False,False
2025-04-01,assam,Karimganj,788720,312,38,14.0,2.7142857142857144,False,False
2025-04-01,assam,Karimganj,788722,143,41,40.0,1.025,False,False
2025-04-01,assam,Karimganj,788723,159,48,15.0,3.2,False,False
2025-04-01,assam,Karimganj,788724,271,71,12.0,5.916666666666667,False,False
2025-04-01,assam,Karimganj,788737,110,53,10.0,5.3,False,False
2025-04-01,assam,Kokrajhar,783337,860,204,10.0,20.4,False,False
2025-04-01,assam,Kokrajhar,783350,325,47,15.0,3.1333333333333333,False,False
2025-04-01,assam,Kokrajhar,783370,894,187,10.0,18.7,False,False
2025-04-01,assam,Lakhimpur,784160,226,101,18.0,5.611111111111111,False,False
2025-04-01,assam,Lakhimpur,787031,528,224,34.0,6.588235294117647,False,False
2025-04-01,assam,Lakhimpur,787032,481,115,21.0,5.476190476190476,False,False
2025-04-01,assam,Lakhimpur,787055,545,50,20.0,2.5,False,False
2025-04-01,assam,Marigaon,782105,419,98,20.0,4.9,False,False
2025-04-01,assam,Marigaon,782121,517,177,13.0,13.615384615384615,False,False
2025-04-01,assam,Marigaon,782127,1017,201,11.0,18.272727272727273,False,False
2025-04-01,assam,Marigaon,782410,224,70,30.0,2.3333333333333335,False,False
2025-04-01,assam,Marigaon,782411,493,180,22.0,8.181818181818182,False,False
2025-04-01,assam,Nagaon,782120,504,183,10.0,18.3,False,False
2025-04-01,assam,Nagaon,782124,1326,708,12.0,59.0,False,False
2025-04-01,assam,Nagaon,782136,334,150,14.0,10.714285714285714,False,False
2025-04-01,assam,Nagaon,782435,20,13,29.0,0.4482758620689655,False,False
2025-04-01,assam,Nagaon,782439,58,59,19.0,3.1052631578947367,False,False
2025-04-01,assam,Nagaon,782442,39,18,15.0,1.2,False,False
2025-04-01,assam,Nagaon,782446,222,81,25.0,3.24,False,False
2025-04-01,assam,Nagaon,782450,100,64,10.0,6.4,False,False
2025-04-01,assam,Nagaon,782450,100,64,11.0,5.818181818181818,False,False
2025-04-01,assam,Nalbari,781334,96,19,24.0,0.7916666666666666,False,False
2025-04-01,assam,Nalbari,781335,19,11,30.0,0.36666666666666664,False,False
2025-04-01,assam,Nalbari,781337,50,14,23.0,0.6086956521739131,False,False
2025-04-01,assam,North Cachar Hills,788819,58,45,24.0,1.875,False,False
2025-04-01,assam,North Cachar Hills,788830,27,14,19.0,0.7368421052631579,False,False
2025-04-01,assam,North Cachar Hills,788831,33,16,13.0,1.2307692307692308,False,False
2025-04-01,assam,North Cachar Hills,788931,66,20,43.0,0.46511627906976744,False,False
2025-04-01,assam,Sibsagar,785640,106,56,45.0,1.2444444444444445,False,False
2025-04-01,assam,Sibsagar,785685,66,25,164.0,0.1524390243902439,False,False
2025-04-01,assam,Sibsagar,785686,28,19,55.0,0.34545454545454546,False,False
2025-04-01,assam,Sibsagar,785697,42,13,12.0,1.0833333333333333,False,False
2025-04-01,assam,Sonitpur,784110,404,112,36.0,3.111111111111111,False,False
2025-04-01,assam,Sonitpur,784111,109,24,18.0,1.3333333333333333,False,False
2025-04-01,assam,Sonitpur,784176,80,76,22.0,3.4545454545454546,False,False
2025-04-01,assam,Sonitpur,784507,85,15,11.0,1.3636363636363635,False,False
2025-04-01,assam,Sonitpur,784507,85,15,150.0,0.1,False,False
2025-04-01,assam,South Salmara Mankachar,783131,90,38,18.0,2.111111111111111,False,False
2025-04-01,assam,South Salmara Mankachar,783135,154,76,12.0,6.333333333333333,False,False
2025-04-01,assam,Tinsukia,786125,160,85,80.0,1.0625,False,False
2025-04-01,assam,Tinsukia,786171,88,63,50.0,1.26,False,False
2025-04-01,assam,Tinsukia,786174,74,33,20.0,1.65,False,False
2025-04-01,assam,Tinsukia,786181,39,43,22.0,1.9545454545454546,False,False
2025-04-01,assam,Tinsukia,786182,55,75,16.0,4.6875,False,False
2025-04-01,assam,Tinsukia,786183,94,19,29.0,0.6551724137931034,False,False
2025-04-01,assam,Tinsukia,786601,110,17,19.0,0.8947368421052632,False,False
2025-04-01,assam,Udalguri,784113,36,14,13.0,1.0769230769230769,False,False
2025-04-01,assam,Udalguri,784114,152,49,36.0,1.3611111111111112,False,False
2025-04-01,assam,Udalguri,784190,119,42,14.0,3.0,False,False
2025-04-01,assam,Udalguri,784507,91,48,11.0,4.363636363636363,False,False
2025-04-01,assam,Udalguri,784507,91,48,150.0,0.32,False,False
2025-04-01,assam,Udalguri,784508,96,36,22.0,1.6363636363636365,False,False
2025-04-01,assam,Udalguri,784509,631,139,45.0,3.088888888888889,False,False
2025-04-01,assam,Udalguri,784510,120,33,12.0,2.75,False,False
2025-04-01,assam,Udalguri,784514,174,37,26.0,1.4230769230769231,False,False
2025-04-01,assam,Udalguri,784514,174,37,12.0,3.0833333333333335,False,False
2025-04-01,assam,Udalguri,784523,98,46,12.0,3.8333333333333335,False,False
2025-04-01,assam,Udalguri,784525,352,84,17.0,4.9411764705882355,False,False
2025-04-01,assam,West Karbi Anglong,782410,15,10,30.0,0.3333333333333333,False,False
2025-04-01,assam,West Karbi Anglong,782486,147,178,21.0,8.476190476190476,False,False
2025-04-01,meghalaya,East Garo Hills,794110,53,131,108.0,1.212962962962963,False,False
2025-04-01,meghalaya,East Garo Hills,794110,53,131,44.0,2.977272727272727,False,False
2025-04-01,meghalaya,East Garo Hills,794111,88,112,185.0,0.6054054054054054,False,False
2025-04-01,meghalaya,East Jaintia Hills,793160,99,34,86.0,0.3953488372093023,False,False
2025-04-01,meghalaya,East Jaintia Hills,793200,114,51,197.0,0.25888324873096447,False,False
2025-04-01,meghalaya,East Khasi Hills,793001,94,124,63.0,1.9682539682539681,False,False
2025-04-01,meghalaya,East Khasi Hills,793002,74,113,43.0,2.627906976744186,False,False
2025-04-01,meghalaya,East Khasi Hills,793003,28,76,11.0,6.909090909090909,False,False
2025-04-01,meghalaya,East Khasi Hills,793004,55,84,17.0,4.9411764705882355,False,False
2025-04-01,meghalaya,East Khasi Hills,793005,37,46,66.0,0.696969696969697,False,False
2025-04-01,meghalaya,East Khasi Hills,793006,87,203,59.0,3.440677966101695,False,False
2025-04-01,meghalaya,East Khasi Hills,793008,28,44,85.0,0.5176470588235295,False,False
2025-04-01,meghalaya,East Khasi Hills,793009,47,36,141.0,0.2553191489361702,False,False
2025-04-01,meghalaya,East Khasi Hills,793010,31,80,39.0,2.051282051282051,False,False
2025-04-01,meghalaya,East Khasi Hills,793012,14,29,90.0,0.32222222222222224,False,False
2025-04-01,meghalaya,East Khasi Hills,793014,43,108,11.0,9.818181818181818,False,False
2025-04-01,meghalaya,East Khasi Hills,793015,132,245,242.0,1.012396694214876,False,False
2025-04-01,meghalaya,East Khasi Hills,793019,17,60,62.0,0.967741935483871,False,False
2025-04-01,meghalaya,East Khasi Hills,793021,71,90,62.0,1.4516129032258065,False,False
2025-04-01,meghalaya,East Khasi Hills,793106,27,31,73.0,0.4246575342465753,False,False
2025-04-01,meghalaya,East Khasi Hills,793108,46,48,56.0,0.8571428571428571,False,False
2025-04-01,meghalaya,East Khasi Hills,793110,162,126,175.0,0.72,False,False
2025-04-01,meghalaya,East Khasi Hills,793111,52,44,44.0,1.0,False,False
2025-04-01,meghalaya,East Khasi Hills,793113,46,78,78.0,1.0,False,False
2025-04-01,meghalaya,East Khasi Hills,793121,134,129,290.0,0.44482758620689655,False,False
2025-04-01,meghalaya,North Garo Hills,783134,12,15,45.0,0.3333333333333333,False,False
2025-04-01,meghalaya,North Garo Hills,794002,29,23,51.0,0.45098039215686275,False,False
2025-04-01,meghalaya,North Garo Hills,794002,29,23,199.0,0.11557788944723618,False,False
2025-04-01,meghalaya,North Garo Hills,794108,32,15,76.0,0.19736842105263158,False,False
2025-04-01,meghalaya,North Garo Hills,794112,66,15,26.0,0.5769230769230769,False,False
2025-04-01,meghalaya,Ri Bhoi,793101,14,40,32.0,1.25,False,False
2025-04-01,meghalaya,Ri Bhoi,793102,115,104,196.0,0.5306122448979592,False,False
2025-04-01,meghalaya,Ri Bhoi,793103,43,38,85.0,0.4470588235294118,False,False
2025-04-01,meghalaya,Ri Bhoi,793105,55,40,184.0,0.21739130434782608,False,False
2025-04-01,meghalaya,South Garo Hills,794005,11,60,118.0,0.5084745762711864,False,False
2025-04-01,meghalaya,South Garo Hills,794005,11,60,64.0,0.9375,False,False
2025-04-01,meghalaya,South Garo Hills,794102,45,27,82.0,0.32926829268292684,False,False
2025-04-01,meghalaya,South Garo Hills,794103,24,90,97.0,0.9278350515463918,False,False
2025-04-01,meghalaya,South Garo Hills,794103,24,90,137.0,0.656934306569343,False,False
2025-04-01,meghalaya,South Garo Hills,794107,12,10,26.0,0.38461538461538464,False,False
2025-04-01,meghalaya,South West Garo Hills,794105,76,103,67.0,1.537313432835821,False,False
2025-04-01,meghalaya,South West Garo Hills,794105,76,103,62.0,1.6612903225806452,False,False
2025-04-01,meghalaya,South West Garo Hills,794106,60,152,22.0,6.909090909090909,False,False
2025-04-01,meghalaya,South West Garo Hills,794115,106,100,85.0,1.1764705882352942,False,False
2025-04-01,meghalaya,South West Khasi Hills,793106,64,59,73.0,0.8082191780821918,False,False
2025-04-01,meghalaya,South West Khasi Hills,793114,102,122,101.0,1.2079207920792079,False,False
2025-04-01,meghalaya,South West Khasi Hills,793119,27,33,38.0,0.868421052631579,False,False
2025-04-01,meghalaya,South West Khasi Hills,793119,27,33,642.0,0.0514018691588785,True,False
2025-04-01,meghalaya,West Garo Hills,794001,64,130,13.0,10.0,False,False
2025-04-01,meghalaya,West Garo Hills,794002,80,144,51.0,2.823529411764706,False,False
2025-04-01,meghalaya,West Garo Hills,794002,80,144,199.0,0.7236180904522613,False,False
2025-04-01,meghalaya,West Garo Hills,794005,32,94,118.0,0.7966101694915254,False,False
2025-04-01,meghalaya,West Garo Hills,794005,32,94,64.0,1.46875,False,False
2025-04-01,meghalaya,West Garo Hills,794101,44,49,41.0,1.1951219512195121,False,False
2025-04-01,meghalaya,West Garo Hills,794103,65,207,97.0,2.134020618556701,False,False
2025-04-01,meghalaya,West Garo Hills,794103,65,207,137.0,1.510948905109489,False,False
2025-04-01,meghalaya,West Garo Hills,794104,475,1814,149.0,12.174496644295303,False,False
2025-04-01,meghalaya,West Garo Hills,794105,74,436,67.0,6.507462686567164,False,False
2025-04-01,meghalaya,West Garo Hills,794105,74,436,62.0,7.032258064516129,False,False
2025-04-01,meghalaya,West Garo Hills,794109,244,322,62.0,5.193548387096774,False,False
2025-04-01,meghalaya,West Jaintia Hills,793109,55,33,29.0,1.1379310344827587,False,False
2025-04-01,meghalaya,West Jaintia Hills,793150,388,181,375.0,0.4826666666666667,False,False
2025-04-01,meghalaya,West Jaintia Hills,793151,120,71,291.0,0.24398625429553264,False,False
2025-04-01,meghalaya,West Khasi Hills,793119,340,290,38.0,7.631578947368421,False,False
2025-04-01,meghalaya,West Khasi Hills,793119,340,290,642.0,0.4517133956386293,False,False
2025-04-01,meghalaya,West Khasi Hills,793120,121,154,487.0,0.3162217659137577,False,False
2025-04-01,mizoram,Champhai,796321,1229,344,17.0,20.235294117647058,False,False
2025-04-01,sikkim,South,737121,11,16,10.0,1.6,False,False
2025-04-01,sikkim,South,737126,50,204,11.0,18.545454545454547,False,False
2025-04-01,sikkim,South Sikkim,737126,89,52,11.0,4.7272727272727275,False,False
2025-04-01,sikkim,West,737121,168,188,10.0,18.8,False,False
2025-04-01,sikkim,West Sikkim,737121,146,82,10.0,8.2,False,False
2025-05-01,assam,Baksa,781372,148,55,20.0,2.75,False,False
2025-05-01,assam,Barpeta,781309,684,115,10.0,11.5,False,False
2025-05-01,assam,Bongaigaon,783384,735,272,15.0,18.133333333333333,False,False
2025-05-01,assam,Charaideo,785692,73,37,10.0,3.7,False,False
2025-05-01,assam,Darrang,784114,61,23,14.0,1.6428571428571428,False,False
2025-05-01,assam,Darrang,784145,242,166,308.0,0.538961038961039,False,False
2025-05-01,assam,Darrang,784190,155,72,35.0,2.057142857142857,False,False
2025-05-01,assam,Darrang,784514,86,50,18.0,2.7777777777777777,False,False
2025-05-01,assam,Darrang,784525,61,20,28.0,0.7142857142857143,False,False
2025-05-01,assam,Dhemaji,786110,121,50,19.0,2.6315789473684212,False,False
2025-05-01,assam,Dhemaji,787057,143,97,27.0,3.5925925925925926,False,False
2025-05-01,assam,Dhemaji,787058,59,42,14.0,3.0,False,False
2025-05-01,assam,Dhemaji,787059,245,177,54.0,3.2777777777777777,False,False
2025-05-01,assam,Dhemaji,787060,186,115,39.0,2.948717948717949,False,False
2025-05-01,assam,Dibrugarh,785675,113,62,22.0,2.8181818181818183,False,False
2025-05-01,assam,Dibrugarh,786001,104,314,30.0,10.466666666666667,False,False
2025-05-01,assam,Dibrugarh,786602,64,67,30.0,2.2333333333333334,False,False
2025-05-01,assam,Dibrugarh,786610,97,52,38.0,1.368421052631579,False,False
2025-05-01,assam,Dibrugarh,786612,47,23,12.0,1.9166666666666667,False,False
2025-05-01,assam,Dibrugarh,786613,51,28,17.0,1.6470588235294117,False,False
2025-05-01,assam,Goalpara,783101,213,121,19.0,6.368421052631579,False,False
2025-05-01,assam,Goalpara,783120,95,67,15.0,4.466666666666667,False,False
2025-05-01,assam,Goalpara,783126,98,75,12.0,6.25,False,False
2025-05-01,assam,Goalpara,783129,275,153,57.0,2.6842105263157894,False,False
2025-05-01,assam,Goalpara,783132,70,45,13.0,3.4615384615384617,False,False
2025-05-01,assam,Golaghat,785601,233,189,21.0,9.0,False,False
2025-05-01,assam,Golaghat,785602,33,41,18.0,2.2777777777777777,False,False
2025-05-01,assam,Golaghat,785603,30,16,20.0,0.8,False,False
2025-05-01,assam,Golaghat,785612,87,48,54.0,0.8888888888888888,False,False
2025-05-01,assam,Golaghat,785614,78,105,33.0,3.1818181818181817,False,False
2025-05-01,assam,Golaghat,785615,16,16,19.0,0.8421052631578947,False,False
2025-05-01,assam,Golaghat,785621,40,72,19.0,3.789473684210526,False,False
2025-05-01,assam,Golaghat,785702,45,41,12.0,3.4166666666666665,False,False
2025-05-01,assam,Golaghat,785705,90,52,19.0,2.736842105263158,False,False
2025-05-01,assam,Jorhat,785635,83,43,13.0,3.3076923076923075,False,False
2025-05-01,assam,Kamrup,781102,353,106,15.0,7.066666666666666,False,False
2025-05-01,assam,Kamrup,781103,98,63,11.0,5.7272727272727275,False,False
2025-05-01,assam,Kamrup,781121,49,21,12.0,1.75,False,False
2025-05-01,assam,Kamrup,781123,123,51,14.0,3.642857142857143,False,False
2025-05-01,assam,Kamrup,781127,251,112,18.0,6.222222222222222,False,False
2025-05-01,assam,Kamrup,781136,323,138,83.0,1.6626506024096386,False,False
2025-05-01,assam,Kamrup,781137,196,52,49.0,1.0612244897959184,False,False
2025-05-01,assam,Kamrup,781141,141,17,14.0,1.2142857142857142,False,False
2025-05-01,assam,Kamrup,781354,431,121,23.0,5.260869565217392,False,False
